lat,lon,hdop,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
22.757574,75.899832,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757562,75.899827,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757550,75.899822,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757538,75.899818,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757527,75.899813,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757515,75.899808,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757503,75.899804,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757491,75.899799,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757479,75.899795,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757468,75.899790,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757456,75.899785,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757444,75.899781,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757432,75.899776,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757420,75.899771,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757408,75.899766,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757396,75.899762,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757384,75.899757,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757372,75.899752,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757360,75.899748,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757348,75.899743,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757337,75.899738,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757325,75.899733,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757313,75.899729,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757301,75.899724,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757289,75.899719,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757277,75.899715,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757265,75.899710,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757253,75.899705,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757241,75.899700,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757229,75.899696,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757217,75.899691,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757206,75.899686,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757194,75.899682,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757182,75.899677,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757170,75.899672,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757158,75.899668,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757147,75.899663,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757135,75.899659,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757123,75.899654,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757111,75.899649,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757100,75.899645,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757088,75.899640,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757076,75.899635,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757065,75.899631,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757053,75.899626,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757041,75.899622,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757029,75.899617,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757018,75.899612,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757006,75.899608,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756994,75.899603,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756982,75.899598,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756971,75.899594,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756959,75.899589,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756947,75.899584,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756935,75.899580,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756923,75.899575,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756911,75.899570,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756900,75.899566,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756888,75.899561,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756876,75.899556,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756864,75.899552,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756852,75.899547,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756840,75.899542,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756828,75.899537,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756816,75.899533,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756804,75.899528,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756792,75.899523,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756780,75.899518,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756768,75.899514,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756756,75.899509,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756744,75.899504,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756732,75.899500,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756721,75.899495,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756709,75.899490,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756697,75.899486,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756685,75.899481,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756673,75.899476,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756661,75.899472,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756650,75.899467,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756638,75.899462,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756626,75.899458,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756614,75.899453,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756603,75.899448,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756591,75.899444,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756579,75.899439,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756567,75.899435,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756556,75.899430,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756544,75.899425,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756532,75.899421,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756521,75.899416,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756509,75.899411,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756497,75.899407,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756485,75.899402,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756474,75.899398,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756462,75.899393,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756450,75.899388,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756438,75.899384,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756426,75.899379,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756415,75.899374,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756403,75.899370,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756391,75.899365,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756379,75.899360,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756367,75.899355,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756355,75.899351,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756343,75.899346,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756331,75.899341,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756319,75.899337,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756307,75.899332,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756295,75.899327,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756283,75.899322,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756271,75.899318,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756259,75.899313,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756248,75.899308,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756236,75.899304,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756224,75.899299,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756212,75.899294,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756200,75.899290,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756188,75.899285,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756176,75.899280,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756164,75.899275,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756153,75.899271,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756141,75.899266,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756129,75.899262,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756117,75.899257,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756105,75.899252,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756094,75.899248,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756082,75.899243,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756070,75.899238,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756059,75.899234,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756047,75.899229,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.756035,75.899225,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.756024,75.899220,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.756012,75.899215,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.756000,75.899211,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755988,75.899206,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755977,75.899201,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755965,75.899197,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755953,75.899192,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755941,75.899187,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755930,75.899183,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755918,75.899178,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755906,75.899173,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755894,75.899169,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755882,75.899164,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755870,75.899159,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755858,75.899155,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755846,75.899150,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755835,75.899145,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755823,75.899141,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755811,75.899136,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755799,75.899131,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755787,75.899126,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755775,75.899122,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755763,75.899117,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755751,75.899112,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755739,75.899108,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755727,75.899103,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755715,75.899098,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755703,75.899093,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755691,75.899089,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755679,75.899084,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755667,75.899079,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.755656,75.899075,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.755644,75.899070,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.755632,75.899065,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.755620,75.899061,15.0,2,0.5,0.7,9.5,0.10,0.07,0.03
22.755608,75.899056,15.0,1,0.5,0.7,9.5,0.10,0.07,0.03
22.755597,75.899051,15.0,1,0.5,0.7,9.5,0.10,0.07,0.03
22.755585,75.899047,15.0,1,0.5,0.7,9.5,0.10,0.07,0.03
22.755573,75.899042,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755561,75.899037,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755549,75.899033,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755537,75.899028,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755526,75.899023,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755514,75.899019,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755502,75.899014,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755490,75.899009,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755478,75.899005,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755466,75.899000,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755455,75.898995,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755443,75.898991,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755431,75.898986,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755419,75.898981,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755407,75.898977,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755395,75.898972,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755384,75.898967,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755372,75.898962,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755360,75.898958,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755348,75.898953,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755336,75.898948,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755324,75.898944,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755313,75.898939,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755301,75.898934,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755289,75.898930,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755277,75.898925,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755265,75.898920,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755254,75.898916,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755242,75.898911,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755230,75.898906,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755218,75.898901,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755206,75.898897,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755194,75.898892,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755183,75.898887,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755171,75.898883,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755159,75.898878,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755147,75.898873,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755135,75.898869,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755123,75.898864,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755112,75.898859,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755100,75.898854,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755088,75.898850,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755076,75.898845,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755064,75.898840,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755053,75.898836,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755041,75.898831,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755029,75.898826,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755017,75.898822,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.755005,75.898817,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754993,75.898812,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754982,75.898807,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754970,75.898803,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754958,75.898798,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754946,75.898793,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754934,75.898789,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754923,75.898784,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754911,75.898779,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754899,75.898774,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754887,75.898770,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754875,75.898765,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754864,75.898760,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754852,75.898756,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754840,75.898751,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754828,75.898746,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754816,75.898741,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754804,75.898737,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754793,75.898732,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754781,75.898727,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754769,75.898723,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754757,75.898718,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754745,75.898713,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754734,75.898708,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754722,75.898704,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754710,75.898699,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754698,75.898694,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754686,75.898689,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754674,75.898685,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754663,75.898680,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754651,75.898675,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754639,75.898671,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754627,75.898666,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754615,75.898661,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754604,75.898656,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754592,75.898652,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754580,75.898647,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754568,75.898642,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754556,75.898637,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754545,75.898633,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754533,75.898628,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754521,75.898623,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754509,75.898618,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754497,75.898614,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754486,75.898609,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754474,75.898604,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754462,75.898599,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754450,75.898595,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754438,75.898590,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754427,75.898585,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754415,75.898580,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754403,75.898576,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754391,75.898571,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754379,75.898566,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754368,75.898562,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754356,75.898557,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754344,75.898552,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754332,75.898547,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754321,75.898543,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754309,75.898538,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754297,75.898533,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754285,75.898528,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754274,75.898524,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754262,75.898519,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754250,75.898514,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754239,75.898510,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754227,75.898505,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754215,75.898500,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754204,75.898495,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754192,75.898491,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754180,75.898486,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754169,75.898481,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754157,75.898477,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754145,75.898472,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754134,75.898467,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754122,75.898463,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754110,75.898458,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754099,75.898453,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754087,75.898448,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754076,75.898444,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754064,75.898439,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754052,75.898434,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754041,75.898430,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754029,75.898425,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754018,75.898420,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.754006,75.898416,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753995,75.898411,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753983,75.898406,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753971,75.898402,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753960,75.898397,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753948,75.898392,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753937,75.898388,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753925,75.898383,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753914,75.898378,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
22.753902,75.898374,15.0,0,0.5,0.7,9.5,0.10,0.07,0.03
